,lon,lat,HWM
103,281553.21919585357,3303851.460849061,3.54
104,280624.5087545089,3302887.238732763,0.0
105,278239.96110993635,3304322.9372857814,2.76
106,281094.2539717973,3306414.349449832,0.92
107,283825.8371198753,3308910.23046118,0.7
108,282014.81810898543,3312535.2660757517,0.0
109,277312.94277405215,3317315.280729676,0.0
110,279112.2402742724,3319173.320114053,0.0
111,287594.47550046316,3317187.3914502654,0.0
112,282842.16785515397,3315466.5543196225,2.65
113,275769.6742839601,3306605.9658227293,0.0
114,273741.4988195546,3306872.226050439,3.04
115,273791.09055234597,3308357.2631204384,0.0
116,271065.5116956401,3309279.290442227,3.32
117,267780.7867439644,3309644.777322745,3.28
118,266062.5385887645,3310236.5161526706,0.9
119,261355.87476046686,3315185.790121734,0.0
120,259208.973570912,3318264.6337443143,0.0
121,266027.92362421786,3317516.0457731215,0.0
122,264874.13687667,3315252.477435268,0.0
123,273483.07103287685,3313336.294878524,0.0
124,275784.9826255444,3311667.0272582597,2.33
127,280987.1527319234,3288263.515535605,0.0
128,280987.1527319234,3288263.515535605,0.74
129,280987.1527319234,3288263.515535605,2.21
130,278809.8901342632,3287771.8813897464,1.02
131,278809.8901342632,3287771.8813897464,0.0
132,282198.99260826793,3287110.9919997966,0.62
133,282198.99260826793,3287110.9919997966,0.82
134,282198.99260826793,3287110.9919997966,1.1
135,281527.5258488852,3286885.6755303484,1.59
136,281527.5258488852,3286885.6755303484,2.14
137,282080.70825903944,3285710.5519361277,1.25
138,282080.70825903944,3285710.5519361277,2.62
139,282080.70825903944,3285710.5519361277,2.84
140,279579.35134138295,3285501.1670883466,4.3
141,279699.85696466954,3285523.190241708,4.18
144,298119.9470850861,3293143.394636331,5.7
146,294619.93909737153,3293748.3572000875,0.63
147,294619.93909737153,3293748.3572000875,0.0
148,290688.95291340735,3288738.5335401804,0.0
149,290688.95291340735,3288738.5335401804,3.07
150,289048.1204200535,3285497.205197761,2.22
151,289048.1204200535,3285497.205197761,0.0
152,287177.59922808455,3283721.8755616476,0.0
153,287177.59922808455,3283721.8755616476,1.81
154,271958.4544986746,3294894.9629522883,2.42
155,271958.4544986746,3294894.9629522883,0.0
156,273371.060223657,3293606.3786963737,1.23
157,273371.060223657,3293606.3786963737,0.0
158,275924.3711801066,3282719.355484433,0.0
159,275924.3711801066,3282719.355484433,7.6
160,275924.3711801066,3282719.355484433,2.86
161,274374.7624964765,3280995.0010873657,1.69
162,274374.7624964765,3280995.0010873657,1.69
163,274374.7624964765,3280995.0010873657,0.0
164,274276.8907649122,3278972.046431829,0.0
165,270913.7359959951,3281820.404796018,1.89
166,269986.84608781675,3281026.5095261508,0.0
167,269986.84608781675,3281026.5095261508,0.0
168,269986.84608781675,3281026.5095261508,0.0
169,266962.4154592203,3279870.181516303,0.0
170,266962.4154592203,3279870.181516303,0.0
171,266962.4154592203,3279870.181516303,0.0
172,265506.2589946111,3281452.0446304064,0.0
173,265506.2589946111,3281452.0446304064,0.0
174,265506.2589946111,3281452.0446304064,0.0
175,264817.8697148372,3279116.455546159,0.0
176,264817.8697148372,3279116.455546159,0.0
177,263543.0192236021,3278076.370212647,0.0
178,263543.0192236021,3278076.370212647,0.31
179,263543.0192236021,3278076.370212647,0.0
180,260782.00055303692,3279394.766832343,0.0
181,260782.00055303692,3279394.766832343,0.0
182,260782.00055303692,3279394.766832343,0.7
183,287272.78471106774,3283685.6928320783,1.58
184,279271.3936109323,3291726.029172963,0.8
185,279271.3936109323,3291726.029172963,0.0
186,280811.8441751734,3290923.88485717,5.36
187,280811.8441751734,3290923.88485717,5.08
188,284313.1275847932,3291358.0457714307,0.0
189,284313.1275847932,3291358.0457714307,1.69
190,285400.7346773215,3289283.466871065,1.13
191,285400.7346773215,3289283.466871065,0.0
192,286065.33052552317,3292143.79321526,1.04
193,286065.33052552317,3292143.79321526,4.62
194,285179.7132915269,3294497.2008226244,4.44
195,285179.7132915269,3294497.2008226244,5.06
196,284620.2303419135,3296336.5390001517,5.01
197,284620.2303419135,3296336.5390001517,4.84
198,282758.75844655436,3297165.525353003,4.08
199,282758.75844655436,3297165.525353003,3.34
200,280769.3379891531,3298066.114911435,3.14
201,280769.3379891531,3298066.114911435,2.0
202,280170.11647460016,3298481.5714944946,1.77
203,280170.11647460016,3298481.5714944946,1.93
204,279901.8080243368,3300418.6219033874,1.72
205,279901.8080243368,3300418.6219033874,0.0
206,274896.90806816716,3299681.444186153,0.0
207,274896.90806816716,3299681.444186153,1.23
208,247301.85669122785,3297408.2915585865,0.66
209,250230.25268953748,3313148.447967441,2.29
210,253189.5761325146,3309062.4927799385,2.9
211,251450.93293354815,3309198.9078320484,2.08
212,256173.9450371537,3306015.1477660155,2.01
213,255429.82475235796,3308968.5261933384,3.4
214,256185.12859503145,3307814.591629424,4.9
215,250959.9795430413,3295680.1602016687,0.0
216,254324.83186869416,3294194.700316785,1.2
217,261676.40382102106,3308392.3055461505,0.0
218,261508.06689231412,3306134.48007869,4.0
219,262994.551986029,3302765.456046728,0.0
220,260213.8855471964,3302093.500083934,0.6
221,263517.0880390259,3301236.0201768605,2.0
222,264161.3850937891,3300086.3372425456,0.0
223,266270.32372788666,3297960.5275184554,1.9
224,269471.554293687,3296663.938463342,1.8
225,270042.56487647654,3301124.767964661,1.1
226,268483.2342705489,3303269.5717985095,2.1
227,267233.0371503796,3304977.6410816787,0.0
228,259994.28986951205,3296767.490292272,1.1
229,265303.0461180017,3294771.071529009,1.0
230,271214.73067759466,3295067.5596925505,2.4
231,248292.5849329435,3304658.1179340114,1.6
232,248900.56000156995,3304681.746304627,1.4
233,246767.53505527673,3306535.3984371372,1.9
234,267800.7969685639,3294872.5057010576,3.7
