evolving elements: 1602
evolving elements: 1629
evolving elements: 1588
evolving elements: 1624
evolving elements: 1662
evolving elements: 1619
evolving elements: 1624
evolving elements: 1631
evolving elements: 1729
evolving elements: 1656
evolving elements: 1555
evolving elements: 1638
evolving elements: 1617
evolving elements: 1673
evolving elements: 1636
evolving elements: 1646
evolving elements: 1345
evolving elements: 1702
evolving elements: 1660
evolving elements: 1571
evolving elements: 1547
evolving elements: 1621
evolving elements: 1565
evolving elements: 1597
evolving elements: 1616
evolving elements: 1485
Time = 2017-08-25 00:00:00, steps=0 (0s)
evolving elements: 1584
evolving elements: 1545
evolving elements: 1557
evolving elements: 1594
Time = 2017-08-25 06:46:00, delta t = 881.37955981, steps=1 (0s)
Time = 2017-08-25 06:48:00, delta t = 884.91047389, steps=1 (0s)
Time = 2017-08-25 06:50:00, delta t = 888.50087699, steps=1 (0s)
Time = 2017-08-25 06:52:00, delta t = 892.03405287, steps=1 (0s)
Time = 2017-08-25 06:54:00, delta t = 895.62518588, steps=1 (0s)
Time = 2017-08-25 06:56:00, delta t = 899.16055977, steps=1 (0s)
Time = 2017-08-25 06:58:00, delta t = 902.75241787, steps=1 (0s)
Time = 2017-08-25 07:00:00, delta t = 906.28992849, steps=1 (0s)
Time = 2017-08-25 07:02:00, delta t = 909.88250663, steps=1 (0s)
Time = 2017-08-25 07:04:00, delta t = 913.42209503, steps=1 (0s)
Time = 2017-08-25 07:06:00, delta t = 917.01538792, steps=1 (0s)
Time = 2017-08-25 07:08:00, delta t = 920.55699745, steps=1 (0s)
Time = 2017-08-25 07:10:00, delta t = 924.15099958, steps=1 (0s)
Time = 2017-08-25 07:12:00, delta t = 927.69457572, steps=1 (0s)
Time = 2017-08-25 07:14:00, delta t = 931.28928138, steps=1 (0s)
Time = 2017-08-25 07:16:00, delta t = 934.83477169, steps=1 (0s)
Time = 2017-08-25 07:18:00, delta t = 938.43017498, steps=1 (0s)
Time = 2017-08-25 07:20:00, delta t = 941.97752901, steps=1 (0s)
Time = 2017-08-25 07:22:00, delta t = 945.57362392, steps=1 (0s)
Time = 2017-08-25 07:24:00, delta t = 949.12279299, steps=1 (0s)
Time = 2017-08-25 07:26:00, delta t = 952.71957337, steps=1 (0s)
Time = 2017-08-25 07:28:00, delta t = 956.27051065, steps=1 (0s)
Time = 2017-08-25 07:30:00, delta t = 959.86797025, steps=1 (0s)
Time = 2017-08-25 07:32:00, delta t = 963.42063061, steps=1 (0s)
Time = 2017-08-25 07:34:00, delta t = 967.01876301, steps=1 (0s)
Time = 2017-08-25 07:36:00, delta t = 970.57310296, steps=1 (0s)
Time = 2017-08-25 07:38:00, delta t = 974.17190177, steps=1 (0s)
Time = 2017-08-25 07:40:00, delta t = 977.72787930, steps=1 (0s)
Time = 2017-08-25 07:42:00, delta t = 981.32733795, steps=1 (0s)
Time = 2017-08-25 07:44:00, delta t = 984.88491261, steps=1 (0s)
Time = 2017-08-25 07:46:00, delta t = 988.48502454, steps=1 (0s)
Time = 2017-08-25 07:48:00, delta t = 992.04415729, steps=1 (0s)
Time = 2017-08-25 07:50:00, delta t = 995.64491586, steps=1 (0s)
Time = 2017-08-25 07:52:00, delta t = 999.20556897, steps=1 (0s)
Time = 2017-08-25 07:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 07:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 07:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:48:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:50:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:52:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 08:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:48:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:50:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:52:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 09:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:16:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:18:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:20:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:48:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:50:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:52:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 10:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 11:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 11:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 11:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 11:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 11:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 11:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 11:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 11:14:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-08-25 11:16:00, delta t = 1000.00000000, steps=1 (0s)
