[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 12:00:00, steps=0 (0s)
[]
Time = 2017-08-25 16:56:00, delta t in [0.25189481, 0.25220304], steps=477 (2s)
Time = 2017-08-25 16:58:00, delta t in [0.25157594, 0.25189474], steps=477 (2s)
Time = 2017-08-25 17:00:00, delta t in [0.25133970, 0.25157558], steps=478 (2s)
Time = 2017-08-25 17:02:00, delta t in [0.25106640, 0.25133959], steps=478 (2s)
Time = 2017-08-25 17:04:00, delta t in [0.25084276, 0.25106601], steps=479 (2s)
Time = 2017-08-25 17:06:00, delta t in [0.25064432, 0.25084269], steps=479 (2s)
Time = 2017-08-25 17:08:00, delta t in [0.25040501, 0.25064406], steps=479 (2s)
Time = 2017-08-25 17:10:00, delta t in [0.25015500, 0.25040451], steps=480 (2s)
Time = 2017-08-25 17:12:00, delta t in [0.24988528, 0.25015476], steps=480 (2s)
Time = 2017-08-25 17:14:00, delta t in [0.24961926, 0.24988473], steps=481 (2s)
Time = 2017-08-25 17:16:00, delta t in [0.24931956, 0.24961897], steps=482 (2s)
Time = 2017-08-25 17:18:00, delta t in [0.24899889, 0.24931955], steps=482 (2s)
Time = 2017-08-25 17:20:00, delta t in [0.24865968, 0.24899848], steps=483 (2s)
Time = 2017-08-25 17:22:00, delta t in [0.24827674, 0.24865950], steps=483 (2s)
Time = 2017-08-25 17:24:00, delta t in [0.24777581, 0.24827589], steps=484 (2s)
Time = 2017-08-25 17:26:00, delta t in [0.24718241, 0.24777481], steps=485 (2s)
Time = 2017-08-25 17:28:00, delta t in [0.24658917, 0.24718133], steps=487 (2s)
Time = 2017-08-25 17:30:00, delta t in [0.24600895, 0.24658910], steps=488 (2s)
Time = 2017-08-25 17:32:00, delta t in [0.24545124, 0.24600872], steps=489 (2s)
Time = 2017-08-25 17:34:00, delta t in [0.24480970, 0.24545085], steps=490 (2s)
Time = 2017-08-25 17:36:00, delta t in [0.24419524, 0.24480899], steps=491 (2s)
Time = 2017-08-25 17:38:00, delta t in [0.24370380, 0.24419435], steps=492 (2s)
Time = 2017-08-25 17:40:00, delta t in [0.24325234, 0.24370283], steps=493 (2s)
Time = 2017-08-25 17:42:00, delta t in [0.24277123, 0.24325172], steps=494 (2s)
Time = 2017-08-25 17:44:00, delta t in [0.24232809, 0.24277038], steps=495 (2s)
Time = 2017-08-25 17:46:00, delta t in [0.24182007, 0.24232685], steps=496 (2s)
Time = 2017-08-25 17:48:00, delta t in [0.24139045, 0.24181946], steps=497 (2s)
Time = 2017-08-25 17:50:00, delta t in [0.24084243, 0.24138985], steps=498 (2s)
Time = 2017-08-25 17:52:00, delta t in [0.24023507, 0.24084156], steps=499 (2s)
Time = 2017-08-25 17:54:00, delta t in [0.23962613, 0.24023393], steps=501 (2s)
Time = 2017-08-25 17:56:00, delta t in [0.23914948, 0.23962594], steps=502 (2s)
Time = 2017-08-25 17:58:00, delta t in [0.23897960, 0.23914936], steps=502 (3s)
Time = 2017-08-25 18:00:00, delta t in [0.23844679, 0.23897874], steps=503 (3s)
Time = 2017-08-25 18:02:00, delta t in [0.23841108, 0.23856361], steps=504 (3s)
Time = 2017-08-25 18:04:00, delta t in [0.23849210, 0.23911400], steps=503 (3s)
Time = 2017-08-25 18:06:00, delta t in [0.23870244, 0.23880153], steps=503 (3s)
Time = 2017-08-25 18:08:00, delta t in [0.23826251, 0.23872494], steps=504 (3s)
Time = 2017-08-25 18:10:00, delta t in [0.23813349, 0.23826241], steps=504 (2s)
Time = 2017-08-25 18:12:00, delta t in [0.23785950, 0.23813325], steps=505 (3s)
Time = 2017-08-25 18:14:00, delta t in [0.23750737, 0.23785937], steps=505 (2s)
Time = 2017-08-25 18:16:00, delta t in [0.23719979, 0.23750683], steps=506 (2s)
Time = 2017-08-25 18:18:00, delta t in [0.23684076, 0.23719939], steps=507 (2s)
Time = 2017-08-25 18:20:00, delta t in [0.23646372, 0.23684057], steps=508 (2s)
Time = 2017-08-25 18:22:00, delta t in [0.23602144, 0.23646367], steps=508 (2s)
Time = 2017-08-25 18:24:00, delta t in [0.23556433, 0.23602060], steps=509 (2s)
Time = 2017-08-25 18:26:00, delta t in [0.23505579, 0.23556344], steps=510 (2s)
Time = 2017-08-25 18:28:00, delta t in [0.23454036, 0.23505478], steps=512 (2s)
Time = 2017-08-25 18:30:00, delta t in [0.23403507, 0.23454028], steps=513 (2s)
Time = 2017-08-25 18:32:00, delta t in [0.23351415, 0.23403488], steps=514 (2s)
Time = 2017-08-25 18:34:00, delta t in [0.23303168, 0.23351385], steps=515 (3s)
Time = 2017-08-25 18:36:00, delta t in [0.23254214, 0.23303127], steps=516 (3s)
Time = 2017-08-25 18:38:00, delta t in [0.23207084, 0.23254168], steps=517 (3s)
Time = 2017-08-25 18:40:00, delta t in [0.23142967, 0.23207029], steps=518 (3s)
Time = 2017-08-25 18:42:00, delta t in [0.23040944, 0.23142849], steps=520 (3s)
Time = 2017-08-25 18:44:00, delta t in [0.22973003, 0.23040833], steps=522 (3s)
Time = 2017-08-25 18:46:00, delta t in [0.22916334, 0.22972928], steps=524 (3s)
Time = 2017-08-25 18:48:00, delta t in [0.22857594, 0.22916332], steps=525 (3s)
Time = 2017-08-25 18:50:00, delta t in [0.22803717, 0.22857563], steps=526 (3s)
Time = 2017-08-25 18:52:00, delta t in [0.22796075, 0.22805813], steps=527 (3s)
Time = 2017-08-25 18:54:00, delta t in [0.22761683, 0.22800108], steps=527 (3s)
Time = 2017-08-25 18:56:00, delta t in [0.22726162, 0.22761627], steps=528 (3s)
