evolving elements: 116
evolving elements: 144
evolving elements: 129
evolving elements: 151
evolving elements: 157
evolving elements: 143
evolving elements: 156
evolving elements: 190
evolving elements: 136
evolving elements: 178
evolving elements: 147
Time = 2017-04-01 00:00:00, steps=0 (0s)
evolving elements: 143
evolving elements: 139
evolving elements: 132
evolving elements: 155
evolving elements: 185
evolving elements: 151
evolving elements: 126
evolving elements: 167
evolving elements: 192
evolving elements: 197
evolving elements: 156
evolving elements: 147
evolving elements: 227
Time = 2017-04-01 04:22:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:24:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:26:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:28:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:30:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:32:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:34:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:36:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:38:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:40:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:42:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:44:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:46:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:48:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:50:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:52:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:54:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:56:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 04:58:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:00:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:02:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:04:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:06:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:08:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:10:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:12:00, delta t = 1000.00000000, steps=1 (0s)
Time = 2017-04-01 05:14:00, delta t = 1000.00000000, steps=1 (0s)
