[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
[]
Time = 2017-08-25 00:00:00, steps=0 (0s)
[]
Time = 2017-08-25 03:06:00, delta t in [0.33555991, 0.33561094], steps=358 (1s)
Time = 2017-08-25 03:08:00, delta t in [0.33550908, 0.33555983], steps=358 (1s)
Time = 2017-08-25 03:10:00, delta t in [0.33545846, 0.33550899], steps=358 (1s)
Time = 2017-08-25 03:12:00, delta t in [0.33540807, 0.33545836], steps=358 (1s)
Time = 2017-08-25 03:14:00, delta t in [0.33535856, 0.33540797], steps=358 (1s)
Time = 2017-08-25 03:16:00, delta t in [0.33531007, 0.33535845], steps=358 (1s)
Time = 2017-08-25 03:18:00, delta t in [0.33526278, 0.33530995], steps=358 (1s)
Time = 2017-08-25 03:20:00, delta t in [0.33521678, 0.33526266], steps=358 (1s)
Time = 2017-08-25 03:22:00, delta t in [0.33517202, 0.33521666], steps=359 (1s)
Time = 2017-08-25 03:24:00, delta t in [0.33512878, 0.33517202], steps=359 (1s)
Time = 2017-08-25 03:26:00, delta t in [0.33508696, 0.33512878], steps=359 (1s)
Time = 2017-08-25 03:28:00, delta t in [0.33504653, 0.33508694], steps=359 (1s)
Time = 2017-08-25 03:30:00, delta t in [0.33500751, 0.33504652], steps=359 (1s)
Time = 2017-08-25 03:32:00, delta t in [0.33496985, 0.33500749], steps=359 (1s)
Time = 2017-08-25 03:34:00, delta t in [0.33493349, 0.33496983], steps=359 (1s)
Time = 2017-08-25 03:36:00, delta t in [0.33489841, 0.33493347], steps=359 (1s)
Time = 2017-08-25 03:38:00, delta t in [0.33486464, 0.33489838], steps=359 (1s)
Time = 2017-08-25 03:40:00, delta t in [0.33483216, 0.33486461], steps=359 (1s)
Time = 2017-08-25 03:42:00, delta t in [0.33480094, 0.33483213], steps=359 (1s)
Time = 2017-08-25 03:44:00, delta t in [0.33477088, 0.33480090], steps=359 (1s)
Time = 2017-08-25 03:46:00, delta t in [0.33474191, 0.33477085], steps=359 (1s)
Time = 2017-08-25 03:48:00, delta t in [0.33471398, 0.33474187], steps=359 (1s)
Time = 2017-08-25 03:50:00, delta t in [0.33468704, 0.33471394], steps=359 (1s)
Time = 2017-08-25 03:52:00, delta t in [0.33466103, 0.33468700], steps=359 (1s)
