,08076500_sim,08076500_obs,08075900_sim,08075900_obs,08076000_sim,08076000_obs,08076180_sim,08076180_obs,08076700_sim,08076700_obs
2017-08-27 13:45:00,52.61564326122885,146.114688,8.260054186862526,334.13824,11.909088788597128,526.6924799999999,4.7995000646332215,269.859104,738.0405948346714,900.47424
2017-08-27 14:00:00,53.76635945148511,147.24736000000001,7.594572262880602,334.13824,11.97477855424023,529.5241599999998,4.976651285970034,273.540288,765.1437845121364,931.62272
2017-08-27 14:15:00,54.49457382895061,147.24736000000001,6.564881751923516,334.13824,12.201034420567485,540.85088,5.153411220608074,275.522464,782.1947392718386,920.296
2017-08-27 14:30:00,54.76613010249396,146.39785600000002,5.4873532575507395,328.47488,12.594396596275233,540.85088,5.316565383888171,279.48681600000003,795.2024560934373,934.4544
2017-08-27 14:45:00,54.82083277381127,146.681024,4.5617970646317225,328.47488,13.108374662969714,538.0192,5.477851957671817,285.99967999999996,805.0665739622641,985.4246400000001
2017-08-27 15:00:00,54.75176170925748,147.813696,3.727422108582026,325.6432,13.761830299403575,543.68256,5.617789728402242,288.83136,811.1842764460051,999.58304
2017-08-27 15:15:00,54.650548059663414,147.530528,3.7834284638201465,322.81152000000003,14.57306467251903,549.34592,5.7480111429310465,300.15808,822.5283791183742,1016.5731199999999
2017-08-27 15:30:00,55.00139431772906,147.24736000000001,5.083632505378279,322.81152000000003,16.16844000339203,552.1776,5.844072461493739,305.82144,832.6686345780682,1030.7315199999998
2017-08-27 15:45:00,55.395256068022356,146.964192,7.236262697233314,319.97984,18.53879944169213,555.00928,5.8731458485195445,308.65312,832.6933984754594,1042.05824
2017-08-27 16:00:00,56.14859618833372,146.681024,8.738412676441456,317.14816,21.608399262211936,560.67264,5.886441979247684,308.65312,832.2124765644489,1047.7216
2017-08-27 16:15:00,57.882599697965205,146.114688,10.126296096334332,314.31647999999996,24.576073066013006,557.84096,5.883943427339155,311.4848,831.7977765334158,1067.54336
2017-08-27 16:30:00,59.88776097233451,145.83151999999998,10.987239038856748,311.4848,26.827811794690977,560.67264,5.895006559329577,317.14816,831.719144828223,1081.70176
2017-08-27 16:45:00,62.58183741064881,144.982016,11.442761990502516,311.4848,28.794248323269922,566.336,5.883013894502354,317.14816,833.1620043482716,1110.01856
2017-08-27 17:00:00,66.6512929934142,145.265184,11.598123144305477,311.4848,30.69860722928328,569.16768,5.855544970050532,322.81152000000003,835.1539670131472,1107.18688
2017-08-27 17:15:00,71.0526562794042,144.698848,11.35357955157755,311.4848,32.184311351445004,574.83104,5.787356421779455,325.6432,836.6860222302842,1118.5136
2017-08-27 17:30:00,74.53084146950631,144.698848,10.705872625538305,311.4848,33.35741907317305,583.3260799999999,5.585311529218587,331.30656,837.9367532009237,1132.672
2017-08-27 17:45:00,77.02204784924461,144.13251200000002,9.84621166029696,308.65312,34.67718992087859,586.1577599999998,5.510879974970807,336.96992,845.2179866548416,1166.6521599999999
2017-08-27 18:00:00,79.15898288169613,144.698848,9.100976622711748,308.65312,36.593499432692944,594.6528,5.576730737625309,342.63327999999996,859.3781803170218,1180.81056
2017-08-27 18:15:00,81.82530969263686,144.982016,8.489632755043525,308.65312,39.39147100653022,611.64288,5.782416691117369,351.12832000000003,891.2078272458037,1240.27584
2017-08-27 18:30:00,85.3155807614594,144.982016,7.877496720039256,308.65312,43.63155020281857,614.47456,5.973899388205189,362.45504,936.8764534472994,1234.61248
2017-08-27 18:45:00,89.86431978268782,144.41568,7.286162050591769,308.65312,47.99862602332878,625.80128,6.289958722972375,376.61344,974.9947857617674,1260.0976
2017-08-27 19:00:00,93.94066103678672,144.13251200000002,6.741454843186188,308.65312,51.33305368873182,628.6329599999999,7.005861963080039,393.60352,1009.785965850744,1277.08768
2017-08-27 19:15:00,95.19585846447175,144.13251200000002,6.271390860868003,308.65312,54.57067338441615,637.128,8.11885516693234,413.42528,1041.8549362536473,1271.4243199999999
2017-08-27 19:30:00,94.7045318164225,144.698848,5.828586428050937,311.4848,57.774187684844435,645.6230400000001,9.483079350751277,433.24704,1069.8866544735185,1279.91936
2017-08-27 19:45:00,94.3100293917323,144.698848,6.486994399837662,311.4848,60.84209136982674,656.94976,11.334565202976476,444.57375999999994,1103.4654963406972,1356.37472
2017-08-27 20:00:00,94.20280897805199,145.548352,8.922083603783324,314.31647999999996,64.26808119640536,685.2665599999999,13.995918972454174,470.05888,1144.470390766403,1342.21632
2017-08-27 20:15:00,92.48911658518007,146.114688,14.138763743867118,311.4848,68.29905772122596,665.4448,17.783393344142148,489.88064,1206.5109798444444,1410.1766400000001
2017-08-27 20:30:00,90.50629353250329,146.964192,19.557425537359908,314.31647999999996,72.93387760504774,682.43488,23.214553907271664,506.87072,1283.6320121298809,1418.6716800000002
2017-08-27 20:45:00,90.06276558336445,147.24736000000001,21.94288225833728,314.31647999999996,78.06876087871072,693.7616,29.472357967558718,512.53408,1353.3637774046765,1438.49344
2017-08-27 21:00:00,90.39914818245899,147.813696,20.777676340117978,314.31647999999996,82.70145515333135,688.09824,33.70228653189199,518.19744,1429.5020070752844,1432.8300800000002
2017-08-27 21:15:00,90.26604160921599,148.380032,19.558225869329373,314.31647999999996,87.06472009900364,705.0883200000001,35.265700175811375,535.1875200000001,1499.9288509594137,1469.64192
2017-08-27 21:30:00,91.84772420044419,148.946368,19.775487599751063,314.31647999999996,91.31571317327239,693.7616,35.68077377007791,538.0192,1557.5643137147063,1466.81024
2017-08-27 21:45:00,94.74890410794262,150.07904,21.43866591696815,317.14816,95.58549171086254,713.58336,35.72363682573495,546.5142400000001,1605.6630680282765,1512.11712
